00002_940928_fa , 1.44737 , 1.481572 , 1.743929 , 2.136191 , 1.505635 , 1.720331 , 0.359823 , 0.238921 , 0.403142 , 0.581284
00003_941121_fa , 1.3249 , 1.747932 , 2.188476 , 1.766748 , 2.178567 , 1.890432 , 0.374434 , 0.261695 , 0.363932 , 0.52898
00019_940422_fa , 1.490008 , 1.462304 , 1.327893 , 2.108571 , 1.756017 , 2.340724 , 0.319062 , 0.274882 , 0.406164 , 0.427218
00028_940128_fa , 1.537919 , 1.574991 , 2.378087 , 1.783872 , 2.141139 , 1.764065 , 0.320465 , 0.291437 , 0.388512 , 0.566872
00029_960627_fa , 1.585768 , 1.593092 , 2.551757 , 1.692947 , 2.257771 , 1.711688 , 0.280338 , 0.334067 , 0.385641 , 0.584219
00055_931230_fa_a , 1.867715 , 1.324807 , 1.910296 , 1.941596 , 1.938105 , 1.957264 , 0.221481 , 0.348628 , 0.43028 , 0.510917
00070_940307_fa , 1.894657 , 1.257992 , 1.799903 , 2.092011 , 1.943793 , 2.148477 , 0.290934 , 0.266236 , 0.442886 , 0.465446
00081_941031_fa , 1.762207 , 1.365743 , 1.885488 , 1.960048 , 1.847322 , 1.894844 , 0.296936 , 0.280471 , 0.422703 , 0.527748
00083_940128_fa_a , 1.490159 , 1.461807 , 1.784821 , 2.110532 , 1.733683 , 1.936784 , 0.354919 , 0.239842 , 0.406455 , 0.51632
00099_931230_fa_a , 1.362133 , 1.588724 , 1.682755 , 2.027954 , 1.619108 , 1.826894 , 0.333386 , 0.282271 , 0.386507 , 0.547377
00128_931230_fa_a , 1.255275 , 1.690924 , 2.269292 , 2.006842 , 1.774013 , 1.631073 , 0.34368 , 0.285519 , 0.371878 , 0.613093
00135_931230_fa_a , 1.474208 , 1.495729 , 1.930871 , 2.049395 , 1.784769 , 1.855501 , 0.293184 , 0.306499 , 0.400911 , 0.538938
00140_941121_fa , 1.572355 , 1.468294 , 1.732797 , 1.961019 , 1.613721 , 1.748483 , 0.317314 , 0.280335 , 0.405342 , 0.571924
00146_941201_fa , 1.66327 , 1.541305 , 2.053699 , 1.701351 , 2.120813 , 1.876745 , 0.314336 , 0.292225 , 0.393507 , 0.532838
00150_940128_fa_a , 1.245668 , 1.726629 , 2.044245 , 1.948301 , 1.883231 , 1.822626 , 0.340911 , 0.294892 , 0.367362 , 0.548659
00155_940128_fa , 1.575025 , 1.204577 , 1.681207 , 2.864908 , 1.388858 , 2.001018 , 0.291685 , 0.254869 , 0.453684 , 0.499746
00157_940928_fa , 1.440762 , 1.435248 , 2.061268 , 2.284084 , 1.596942 , 1.713241 , 0.330478 , 0.259379 , 0.410805 , 0.583689
00160_931230_fa_a , 1.26472 , 1.725612 , 2.089697 , 1.914616 , 1.892113 , 1.785427 , 0.353118 , 0.280129 , 0.366938 , 0.56009
00161_931230_fa_a , 1.417191 , 1.516363 , 2.209806 , 2.101674 , 1.887273 , 1.823689 , 0.315766 , 0.288951 , 0.397469 , 0.548339
00162_940128_fa , 1.291957 , 1.824566 , 2.127251 , 1.684785 , 1.955519 , 1.678776 , 0.353463 , 0.292818 , 0.354137 , 0.595672
00169_931230_fa_a , 1.553886 , 1.336432 , 1.762805 , 2.37022 , 1.703753 , 2.07878 , 0.309143 , 0.263336 , 0.428363 , 0.481051
00175_931230_fa_a , 1.623883 , 1.503185 , 1.704367 , 1.81959 , 2.06081 , 2.147614 , 0.315109 , 0.287025 , 0.399833 , 0.465633
00183_940128_fa , 1.181796 , 1.671985 , 1.59931 , 2.232605 , 1.538378 , 1.912359 , 0.382014 , 0.244098 , 0.374255 , 0.522914
00184_940422_fa , 1.27655 , 1.744342 , 2.108171 , 1.855655 , 1.787204 , 1.642558 , 0.359987 , 0.275735 , 0.364408 , 0.608806
00185_940128_fa , 1.417932 , 1.870471 , 2.017309 , 1.46258 , 2.520646 , 2.057522 , 0.347516 , 0.304544 , 0.348598 , 0.486022
00186_940128_fa_a , 1.553241 , 1.43494 , 1.901588 , 2.072069 , 1.553889 , 1.645335 , 0.328268 , 0.262613 , 0.410908 , 0.607779
00187_940128_fa_a , 1.449017 , 1.525579 , 1.915039 , 2.018425 , 2.013313 , 2.082204 , 0.30977 , 0.295111 , 0.396261 , 0.48026
